Timestamp,Year of Study,Your Average Lecture attendance Rate,Recently Released Semester Results [Subject 1],Recently Released Semester Results [Subject 2],Recently Released Semester Results [Subject 3],Recently Released Semester Results [Subject 4],If you had more than four subjects [Subject 5],If you had more than four subjects [Subject 6],If you had more than four subjects [Subject 7],If you had more than four subjects [Subject 8],"What is your current GPA ? (If you don't know, you can leave this)",How many hours do you study per week?,How Often do You Complete Assignments on Time,Are you currently doing a part time job?,"If yes, how many hours per week do you work?","Are you involved in any sports or extracurricular activities(clubs, societies, volunteering, etc.)?","If yes, how many hours per week do you spend on sports  or extracurricular activities  ?"
12/07/2025 16:50:00,3rd Year,75% - 90%,B+,B+,B+,B+,B+,B+,B+,B+,2.22,10 hours - 20 hours,Always,Yes,10 hours - 20 hours,Occasionally,1-3 hours
12/07/2025 16:50:29,3rd Year,Above 90%,A-,B+,B-,C,B+,,,,2.94,Less than 10 hours,Always,No,,Yes,4-6 hours
12/07/2025 16:51:44,3rd Year,Below 50%,C-,C,Absent,E,,,,,,Less than 10 hours,Sometimes,Yes,Less than 10 hours,No,1-3 hours
12/07/2025 16:51:49,3rd Year,50% - 74%,A,B,B-,C+,C,,,,3.14,10 hours - 20 hours,Often,No,,Yes,More than 6 hours
12/07/2025 16:55:43,2nd Year,Above 90%,B-,D,C,Absent,,,,,,Less than 10 hours,Always,No,,No,
12/07/2025 17:00:54,3rd Year,,B+,B+,A-,B+,B+,B+,B+,B+,,Less than 10 hours,Often,Yes,Less than 10 hours,Yes,4-6 hours
12/07/2025 17:02:38,3rd Year,75% - 90%,B,B-,C,C,C,C,C-,Absent,1.97,10 hours - 20 hours,Always,No,,Yes,1-3 hours
12/07/2025 17:04:08,3rd Year,Above 90%,A,B+,B,A-,B-,C+,A-,C,2.92,Less than 10 hours,Always,No,,Yes,1-3 hours
12/07/2025 17:06:48,3rd Year,50% - 74%,C,B,C+,D+,D+,C,C,C,,Less than 10 hours,Always,No,,No,
12/07/2025 17:18:33,3rd Year,Above 90%,C,C+,B+,A-,C,Absent,B,C+,,More than 20 hours,Always,No,,Yes,1-3 hours
12/07/2025 17:27:03,3rd Year,Above 90%,A-,B+,B-,C,B+,B-,C-,B+,,Less than 10 hours,Always,No,,No,
12/07/2025 17:27:23,3rd Year,75% - 90%,A,A-,B+,B+,B+,B,B-,C,2.65,10 hours - 20 hours,Often,No,,Yes,1-3 hours
12/07/2025 17:34:05,3rd Year,Above 90%,A+,A,A,A,A-,B+,A,A-,3.5,Less than 10 hours,Always,No,,Yes,1-3 hours
12/07/2025 17:50:37,3rd Year,Above 90%,A-,B+,B-,C+,,,,,,Less than 10 hours,Always,No,,Yes,1-3 hours
12/07/2025 17:54:13,3rd Year,Above 90%,A,C,C+,A-,,,,,,10 hours - 20 hours,Always,No,,Occasionally,4-6 hours
12/07/2025 18:08:22,3rd Year,Above 90%,A,A-,A-,A,A,C+,C+,B-,,10 hours - 20 hours,Always,No,,Yes,More than 6 hours
12/07/2025 18:44:52,3rd Year,75% - 90%,A-,B+,C,C,C,C,C,C,,Less than 10 hours,Always,No,Less than 10 hours,Yes,1-3 hours
12/07/2025 18:59:42,3rd Year,75% - 90%,A-,B+,B+,B+,B+,,,,2.8,Less than 10 hours,Often,No,10 hours - 20 hours,No,4-6 hours
12/07/2025 19:03:59,3rd Year,75% - 90%,B+,B,B,B-,C+,B+,,,,Less than 10 hours,Always,No,,Yes,1-3 hours
12/07/2025 19:27:42,3rd Year,75% - 90%,A+,B,B,B+,,,,,,Less than 10 hours,Always,Yes,Less than 10 hours,Yes,More than 6 hours
12/07/2025 19:39:17,1st Year,75% - 90%,B+,B-,C,C+,,,,,,10 hours - 20 hours,Always,No,,Yes,4-6 hours
12/07/2025 19:51:45,3rd Year,75% - 90%,A+,A,A-,B+,B+,A-,A,,,10 hours - 20 hours,Often,No,10 hours - 20 hours,Occasionally,4-6 hours
12/07/2025 19:52:51,2nd Year,75% - 90%,C,C+,Absent,A,,,,,2.9783,Less than 10 hours,Always,No,,Yes,4-6 hours
12/07/2025 20:03:42,1st Year,Above 90%,B-,A,D+,Absent,,,,,,Less than 10 hours,Always,No,,Yes,4-6 hours
